,predictions_1,predictions_2,predictions_3,true_vals
0,1.7620901,-2.5690854,-0.29492605,2
1,2.0812669,-1.9406649,-1.5274812,2
2,2.080634,-1.7634727,-1.6286281,2
3,1.7153589,-2.5411227,-0.3053074,2
4,1.929803,-2.0916257,-1.2666954,2
5,1.8863539,-2.3816545,-0.8488386,2
6,0.15117276,1.0162724,-1.9093058,2
7,-1.5883266,2.9404538,-1.1271428,0
8,1.593147,-1.5950111,-1.1565484,2
9,-0.19768512,-2.1069288,2.4040015,0
10,-0.4058505,-1.7870556,2.3776429,0
11,1.9883302,-2.3500764,-0.9877446,2
12,1.9692496,-2.6768057,-0.093829304,2
13,2.0785017,-1.6270257,-1.707892,2
14,2.15826,-1.7696251,-1.6466342,2
15,1.7027301,-2.3629453,-0.18393552,2
16,2.0814643,-1.5699443,-1.702874,2
17,1.9897941,-1.593984,-1.6476715,2
18,2.1052413,-1.8837222,-1.5799572,2
19,2.11776,-1.6031953,-1.7220387,2
20,2.0412302,-1.8202327,-1.5361272,2
21,2.122425,-1.9190835,-1.5537925,2
22,1.222188,-2.8111923,1.5640271,0
23,1.9605552,-2.2078006,-1.1600116,2
24,1.4028574,-2.386033,0.54015833,2
25,2.124563,-1.8947445,-1.5083659,2
26,2.0959518,-1.7233628,-1.6762356,2
27,-0.2835763,-1.8732584,2.4115438,0
28,2.1252995,-1.6133245,-1.7452592,2
29,-0.5170037,-0.98271984,2.056737,0
30,2.138936,-1.5419225,-1.8335505,2
31,2.1147902,-1.6955054,-1.7032601,2
32,2.0154057,-1.5568717,-1.6793236,2
33,2.0424418,-1.3552471,-1.829182,2
34,2.0137715,-2.2249122,-1.2066314,2
35,1.9227163,-2.1175132,-1.1539901,2
36,2.0796595,-1.8556136,-1.561325,2
37,2.018148,-1.5689455,-1.6624371,2
38,2.0447936,-1.5152497,-1.7445623,2
39,2.0414765,-1.5233549,-1.7359042,2
40,2.0519814,-1.5140644,-1.756765,2
41,2.096406,-1.5713007,-1.7235649,2
42,2.1028996,-2.020226,-1.4428369,2
43,2.070882,-1.5108294,-1.7590042,2
44,2.014729,-1.9903854,-1.3812029,2
45,2.0492873,-1.9563891,-1.4023672,2
46,0.18134736,-2.2584276,2.205718,0
47,2.057434,-2.0717075,-1.3767678,2
48,1.7163845,-2.9758842,0.6733083,0
49,2.0642955,-1.4468495,-1.8059852,2
50,2.0332801,-1.9247793,-1.4531372,2
51,1.8120489,-2.9699886,0.30920509,2
52,2.071291,-1.8158584,-1.6216539,2
53,2.0411654,-1.6417533,-1.6405841,2
54,2.1780472,-1.7568634,-1.6960918,2
55,1.9043726,-2.8209531,0.08556527,2
56,1.9404608,-2.1815999,-1.1916414,2
57,1.9891653,-2.2959187,-1.0440087,2
58,1.9409927,-2.6994033,-0.5228852,0
59,1.5814773,-2.82107,0.8049474,0
60,-0.03209639,-2.2380564,2.382615,0
61,1.9809275,-1.8021086,-1.5135868,0
62,0.13452575,-2.0965931,2.2252624,0
63,0.7878617,-2.5196435,1.5861495,0
64,1.957204,-2.0540712,-1.2977741,2
65,1.8872255,-2.892527,0.23340878,2
66,0.9382319,-2.5496395,1.4013695,0
67,0.7490003,-2.3561456,1.469872,0
68,0.5213727,-2.5907214,2.0494404,0
