,response,label
0,neutral,1
1,positive,2
2,positive,2
3,positive,2
4,positive,2
5,positive,2
6,positive,2
7,positive,2
8,positive,2
9,positive,2
10,positive,2
11,positive,2
12,positive,2
13,positive,2
14,positive,2
15,positive,2
16,positive,2
17,positive,2
18,positive,2
19,neutral,1
20,positive,2
21,positive,2
22,positive,2
23,neutral,1
24,positive,2
25,neutral,1
26,positive,2
27,positive,2
28,positive,2
29,positive,2
30,positive,2
31,Neutral.,1
32,positive,2
33,positive,2
34,positive,2
35,positive,2
36,positive,2
37,neutral,1
38,neutral,1
39,neutral,1
40,neutral,1
41,positive,2
42,neutral,1
43,neutral,1
44,positive,2
45,positive,2
46,positive,2
47,positive,2
48,positive,2
49,positive,2
50,positive,2
51,positive,2
52,positive,2
53,positive,2
54,positive,2
55,positive,2
56,neutral,1
57,positive,2
58,Neutral,1
59,positive,2
60,positive,2
61,positive,2
62,positive,2
63,positive,2
64,positive,2
65,positive,2
66,positive,2
67,positive,2
68,positive,2
69,neutral,1
70,positive,2
71,positive,2
72,positive,2
73,positive,2
74,neutral,1
75,positive,2
76,positive,2
77,positive,2
78,positive,2
79,positive,2
80,positive,2
81,positive,2
82,positive,2
83,positive,2
84,neutral,1
85,positive,2
86,neutral,1
87,positive,2
88,positive,2
89,positive,2
90,positive,2
91,positive,2
92,positive,2
93,positive,2
94,positive,2
95,positive,2
96,positive,2
97,positive,2
98,positive,2
99,positive,2
100,positive,2
101,positive,2
102,positive,2
103,positive,2
104,positive,2
105,Neutral,1
106,positive,2
107,positive,2
108,positive,2
109,positive,2
110,positive,2
111,positive,2
112,positive,2
113,positive,2
114,positive,2
115,neutral,1
116,positive,2
117,positive,2
118,positive,2
119,positive,2
120,positive,2
121,positive,2
122,positive,2
123,positive,2
124,positive,2
125,positive,2
126,positive,2
127,positive,2
128,neutral,1
129,positive,2
130,positive,2
131,positive,2
132,neutral,1
133,positive,2
134,neutral,1
135,positive,2
136,positive,2
137,positive,2
138,positive,2
139,positive,2
140,positive,2
141,neutral,1
142,neutral,1
143,positive,2
144,positive,2
145,positive,2
146,positive,2
147,positive,2
148,positive,2
149,positive,2
150,positive,2
151,positive,2
152,positive,2
153,positive,2
154,positive,2
155,positive,2
156,positive,2
157,positive,2
158,positive,2
159,positive,2
160,positive,2
161,positive,2
162,positive,2
163,positive,2
164,positive,2
165,positive,2
166,positive,2
167,positive,2
168,positive,2
169,positive,2
170,positive,2
171,positive,2
172,positive,2
173,positive,2
174,positive,2
175,positive,2
176,positive,2
177,positive,2
178,positive,2
179,positive,2
180,positive,2
181,positive,2
182,positive,2
183,positive,2
184,positive,2
185,positive,2
186,positive,2
187,positive,2
188,positive,2
189,positive,2
190,positive,2
191,positive,2
192,Neutral,1
193,positive,2
194,positive,2
195,neutral,1
196,positive,2
197,positive,2
198,neutral,1
199,positive,2
200,neutral,1
201,positive,2
202,positive,2
203,neutral,1
204,positive,2
205,positive,2
206,positive,2
207,positive,2
208,positive,2
209,positive,2
210,Neutral,1
211,positive,2
212,positive,2
213,positive,2
214,positive,2
215,positive,2
216,neutral,1
217,positive,2
218,positive,2
219,positive,2
220,positive,2
221,positive,2
222,neutral,1
223,positive,2
224,neutral,1
225,neutral,1
226,neutral,1
227,positive,2
228,positive,2
229,positive,2
230,neutral,1
231,positive,2
232,positive,2
233,positive,2
234,positive,2
235,positive,2
236,positive,2
237,positive,2
238,positive,2
239,positive,2
240,positive,2
241,positive,2
242,positive,2
243,positive,2
244,positive,2
245,positive,2
246,neutral,1
247,positive,2
248,positive,2
249,positive,2
250,positive,2
251,positive,2
252,positive,2
253,positive,2
254,positive,2
255,positive,2
256,positive,2
257,positive,2
258,positive,2
259,positive,2
260,neutral,1
261,positive,2
262,positive,2
263,neutral,1
264,neutral,1
265,neutral,1
266,neutral,1
267,neutral,1
268,neutral,1
269,Neutral,1
270,neutral,1
271,neutral,1
272,positive,2
273,neutral,1
274,neutral,1
275,neutral,1
276,neutral,1
277,neutral,1
278,neutral,1
279,neutral,1
280,neutral,1
281,neutral,1
282,Neutral,1
283,neutral,1
284,Neutral.,1
285,neutral,1
286,neutral,1
287,neutral,1
288,neutral,1
289,neutral,1
290,neutral,1
291,neutral,1
292,negative,0
293,negative,0
294,negative,0
295,positive,2
296,positive,2
297,positive,2
298,positive,2
299,positive,2
300,positive,2
301,positive,2
302,positive,2
303,positive,2
304,neutral,1
305,neutral,1
306,neutral,1
307,neutral,1
308,neutral,1
309,positive,2
310,positive,2
311,Neutral,1
312,neutral,1
313,neutral,1
314,positive,2
315,positive,2
316,positive,2
317,neutral,1
318,positive,2
319,positive,2
320,neutral,1
321,neutral,1
322,neutral,1
323,positive,2
324,neutral,1
325,neutral,1
326,neutral,1
327,positive,2
328,neutral,1
329,neutral,1
330,Neutral,1
331,positive,2
332,neutral,1
333,neutral,1
334,neutral,1
335,neutral,1
336,neutral,1
337,positive,2
338,neutral,1
339,neutral,1
340,neutral,1
341,neutral,1
342,neutral,1
343,neutral,1
344,neutral,1
345,negative,0
346,neutral,1
347,negative,0
348,negative,0
349,negative,0
350,negative,0
351,negative,0
352,negative,0
353,negative,0
354,negative,0
355,negative,0
356,negative,0
357,negative,0
358,negative,0
359,negative,0
360,negative,0
361,negative,0
362,negative,0
363,positive,2
364,neutral,1
365,positive,2
366,positive,2
367,positive,2
368,positive,2
369,positive,2
370,negative,0
371,negative,0
372,negative,0
373,neutral,1
374,negative,0
375,positive,2
376,positive,2
377,positive,2
378,positive,2
379,positive,2
380,neutral,1
381,negative,0
382,positive,2
383,positive,2
384,positive,2
385,positive,2
386,positive,2
387,positive,2
388,positive,2
389,positive,2
390,positive,2
391,positive,2
392,neutral,1
393,Neutral,1
394,positive,2
395,positive,2
396,negative,0
397,positive,2
398,positive,2
399,positive,2
400,positive,2
401,neutral,1
402,positive,2
403,positive,2
404,positive,2
405,positive,2
406,positive,2
407,positive,2
408,positive,2
409,positive,2
410,positive,2
411,positive,2
412,positive,2
413,positive,2
414,Neutral,1
415,positive,2
416,neutral,1
417,neutral,1
418,positive,2
419,neutral,1
420,positive,2
421,Positive,1
422,positive,2
423,Positive,1
424,positive,2
425,neutral,1
426,positive,2
427,positive,2
428,positive,2
429,neutral,1
430,positive,2
431,neutral,1
432,positive,2
433,positive,2
434,Neutral,1
435,positive,2
436,neutral,1
437,positive,2
438,positive,2
439,positive,2
440,positive,2
441,neutral,1
442,positive,2
443,positive,2
444,neutral,1
445,positive,2
446,neutral,1
447,neutral,1
448,neutral,1
449,positive,2
450,positive,2
451,positive,2
452,positive,2
453,Neutral,1
454,positive,2
455,positive,2
456,neutral,1
457,positive,2
458,positive,2
459,neutral,1
460,Neutral,1
461,neutral,1
462,positive,2
463,positive,2
464,positive,2
465,positive,2
466,positive,2
467,neutral,1
468,positive,2
469,positive,2
470,positive,2
471,Positive,1
472,positive,2
473,positive,2
474,positive,2
475,positive,2
476,positive,2
477,neutral,1
478,positive,2
479,neutral,1
480,positive,2
481,positive,2
482,neutral,1
483,neutral,1
484,neutral,1
485,neutral,1
486,neutral,1
487,Neutral,1
488,neutral,1
489,neutral,1
490,neutral,1
491,neutral,1
492,neutral,1
493,neutral,1
