,response,label
0,neutral,1
1,positive,2
2,Positive,2
3,neutral,1
4,Positive,2
5,Positive.,1
6,Positive,2
7,neutral,1
8,Positive.,1
9,Positive,2
10,Negative,0
11,positive,2
12,neutral,1
13,Positive,2
14,Neutral,1
15,Positive,2
16,Positive,2
17,Positive,2
18,Positive,2
19,Positive,2
20,neutral,1
21,Positive.,1
22,neutral.,1
23,Positive.,1
24,Negative,0
25,Neutral.,1
26,neutral,1
27,Negative,0
28,Positive,2
29,Negative,0
30,neutral,1
31,Positive,2
32,neutral,1
33,Positive,2
34,Negative,0
35,Positive.,1
36,neutral,1
37,neutral,1
38,Positive,2
39,Positive.,1
40,Positive,2
41,Positive,2
42,neutral,1
43,Positive,2
44,Neutral.,1
45,neutral,1
46,neutral,1
47,Negative,0
48,neutral,1
49,neutral,1
50,Positive.,1
51,neutral,1
52,Positive,2
53,Positive,2
54,neutral,1
55,Positive.,1
56,Neutral.,1
57,neutral,1
58,Positive.,1
59,neutral,1
60,Positive.,1
61,Positive,2
62,Positive,2
63,neutral,1
64,Positive,2
65,Negative.,1
66,Positive,2
67,Negative,0
68,Positive,2
69,neutral,1
70,Positive.,1
71,Positive,2
72,Positive,2
73,neutral,1
74,Positive.,1
75,Negative,0
76,neutral,1
77,Positive,2
78,neutral,1
79,Negative,0
80,Positive,2
81,Neutral.,1
82,neutral,1
83,Positive.,1
84,neutral,1
85,neutral.,1
86,neutral,1
87,Negative,0
88,Positive.,1
89,neutral,1
90,neutral,1
91,Positive.,1
92,Positive,2
93,neutral,1
94,neutral,1
95,Positive.,1
96,neutral.,1
97,neutral,1
98,Positive.,1
99,Positive.,1
100,Negative,0
101,Negative,0
102,neutral,1
103,Positive,2
104,Negative,0
105,Positive,2
106,Positive,2
107,Positive,2
108,Positive,2
109,neutral,1
110,Positive.,1
111,neutral,1
112,neutral,1
113,Negative,0
114,Positive,2
115,Positive,2
116,Negative.,1
117,neutral,1
118,neutral,1
119,Positive,2
120,Positive.,1
121,Positive,2
122,neutral,1
123,Positive,2
124,neutral,1
125,Negative.,1
126,Positive.,1
127,Positive,2
128,Positive,2
129,neutral,1
130,neutral,1
131,Positive,2
132,neutral,1
133,Negative.,1
134,Neutral.,1
135,neutral,1
136,neutral,1
137,negative,0
138,Positive,2
139,Positive,2
140,Negative,0
141,Neutral.,1
142,Negative.,1
143,Negative.,1
144,Positive,2
145,Negative,0
146,positive,2
147,Positive,2
148,Negative,0
149,neutral,1
150,Positive.,1
151,neutral,1
152,neutral,1
153,Positive,2
154,Positive.,1
155,Positive,2
156,Positive,2
157,Positive.,1
158,Positive,2
159,Positive.,1
160,neutral,1
161,neutral,1
162,Positive,2
163,Negative.,1
164,Negative.,1
165,neutral,1
166,Positive,2
167,neutral,1
168,Positive,2
169,neutral,1
170,Positive.,1
171,neutral,1
172,Positive.,1
173,Positive.,1
174,neutral,1
175,neutral,1
176,neutral,1
177,Positive,2
178,Negative.,1
179,Positive,2
180,Negative,0
181,Positive,2
182,Neutral.,1
183,Negative,0
184,negative,0
185,Positive,2
186,Positive,2
187,Positive,2
188,Positive.,1
189,Negative.,1
190,neutral,1
191,neutral,1
192,neutral,1
193,Positive.,1
194,Positive.,1
195,Thesentimentoftheinputismixed/neutral.,1
196,neutral,1
197,Neutral.,1
198,Negative.,1
199,neutral,1
200,Positive,2
201,Negative.,1
202,Positive,2
203,Positive.,1
204,Negative,0
205,neutral,1
206,neutral,1
207,Neutral.,1
208,Positive,2
209,Negative,0
210,neutral.,1
211,Positive,2
212,Positive,2
213,neutral,1
214,neutral,1
215,Positive,2
216,Negative,0
217,Positive,2
218,Positive.,1
219,Negative,0
220,neutral.,1
221,positive,2
222,neutral,1
223,Positive,2
224,neutral,1
225,Positive.,1
226,neutral,1
227,Positive,2
228,Negative.,1
229,Positive.,1
230,neutral,1
231,Negative.,1
232,Negative,0
233,positive,2
234,neutral,1
235,neutral,1
236,neutral,1
237,Positive,2
238,Negative,0
239,Positive,2
240,Negative,0
241,positive,2
242,Positive,2
243,Positive.,1
244,Positive,2
245,neutral,1
246,Negative,0
247,Positive,2
248,Positive,2
249,neutral,1
250,neutral,1
251,Negative,0
252,Negative.,1
253,neutral,1
254,neutral,1
255,Positive,2
256,neutral,1
257,Positive,2
258,Negative.,1
259,Neutral.,1
260,Positive,2
261,neutral,1
262,neutral,1
263,Positive.,1
264,Neutral.,1
265,neutral,1
266,Negative,0
267,neutral.,1
268,Positive,2
269,neutral,1
270,Positive,2
271,neutral,1
272,Positive,2
273,neutral,1
274,neutral,1
275,neutral,1
276,Positive,2
277,Negative,0
278,Negative,0
279,Positive.,1
280,Positive.,1
281,Negative,0
282,Positive.,1
283,neutral,1
284,Positive.,1
285,Negative,0
286,Positive,2
287,neutral.,1
288,negative,0
289,Positive,2
290,neutral,1
291,Positive.,1
292,Positive,2
293,Positive,2
294,Positive,2
295,neutral,1
296,neutral,1
297,Positive,2
298,neutral,1
299,neutral,1
300,neutral,1
301,neutral,1
302,Positive.,1
303,Positive.,1
304,Positive,2
305,Positive.,1
306,Positive.,1
307,Positive.,1
308,neutral,1
309,Positive,2
310,neutral,1
311,neutral,1
312,Negative,0
313,Negative.,1
314,neutral,1
315,Positive,2
316,Negative,0
317,neutral,1
318,Positive.,1
319,Positive,2
320,Positive,2
321,neutral,1
322,positive,2
323,Positive.,1
324,Positive,2
325,Positive,2
326,neutral,1
327,Positive.,1
328,Negative,0
329,Positive,2
330,neutral,1
331,Positive,2
332,neutral,1
333,Positive.,1
334,Positive.,1
335,Negative,0
336,Positive.,1
337,Positive.,1
338,Positive,2
339,neutral,1
340,neutral,1
341,Positive,2
342,Positive,2
343,Positive,2
344,neutral,1
345,neutral,1
346,Positive,2
347,neutral,1
348,neutral,1
349,neutral.,1
350,Neutral.,1
351,Negative,0
352,Positive.,1
353,neutral,1
354,neutral,1
355,neutral,1
356,neutral,1
357,neutral,1
358,neutral,1
359,Positive,2
360,Negative.,1
361,neutral,1
362,neutral,1
363,Positive,2
364,neutral,1
365,Positive,2
366,Positive,2
367,neutral,1
368,neutral,1
369,neutral,1
370,neutral,1
371,neutral,1
372,Negative.,1
373,positive,2
374,Positive,2
375,neutral,1
376,neutral,1
377,Positive,2
378,Positive.,1
379,Negative.,1
380,Positive,2
381,Negative,0
382,Positive,2
383,Negative.,1
384,neutral,1
385,Positive,2
386,positive,2
387,Positive,2
388,positive,2
389,neutral,1
390,neutral,1
391,Negative,0
392,neutral,1
393,neutral,1
394,neutral,1
395,Positive.,1
396,Positive,2
397,Positive,2
398,neutral,1
399,Positive,2
400,Positive,2
401,Positive,2
402,Negative.,1
403,neutral,1
404,Positive,2
405,neutral,1
406,Negative,0
407,neutral,1
408,Positive,2
409,Negative.,1
410,Negative,0
411,Positive.,1
412,Positive,2
413,neutral,1
414,Positive.,1
415,neutral,1
416,Negative,0
417,neutral,1
418,Neutral,1
419,Neutral,1
420,neutral,1
421,Positive,2
422,Negative,0
423,Positive,2
424,Positive,2
425,Negative,0
426,neutral,1
427,Positive.,1
428,Positive,2
429,Negative.,1
430,neutral,1
431,Positive,2
432,neutral,1
433,neutral,1
434,neutral,1
435,Negative.,1
436,neutral,1
