,response,label
0,Neutral,1
1,Positive,2
2,Positive,2
3,Positive,2
4,Positive,2
5,Positive,2
6,Positive,2
7,Positive,2
8,Positive,2
9,Positive,2
10,Positive,2
11,Positive,2
12,Positive,2
13,Positive,2
14,Positive,2
15,Positive,2
16,Positive,2
17,Positive,2
18,Positive,2
19,Neutral,1
20,Positive,2
21,neutral,1
22,Positive,2
23,Neutral,1
24,Positive,2
25,Neutral,1
26,Positive,2
27,Positive,2
28,Positive,2
29,Positive,2
30,Positive,2
31,Positive,2
32,Positive,2
33,Positive,2
34,Positive,2
35,Positive,2
36,Positive,2
37,Neutral,1
38,Neutral,1
39,Neutral,1
40,neutral,1
41,Positive,2
42,Neutral.,1
43,Neutral,1
44,Positive,2
45,Positive,2
46,Positive,2
47,Positive,2
48,Positive,2
49,Positive,2
50,Positive,2
51,Positive,2
52,Positive,2
53,Positive,2
54,Positive,2
55,Positive,2
56,Positive,2
57,neutral,1
58,Neutral,1
59,Positive,2
60,Positive,2
61,Positive,2
62,Positive,2
63,neutral,1
64,Positive,2
65,Positive,2
66,Positive,2
67,Positive,2
68,Positive,2
69,Positive,2
70,Positive,2
71,Positive,2
72,Positive,2
73,Positive,2
74,Positive,2
75,Positive,2
76,Positive,2
77,positive,2
78,Neutral,1
79,Positive,2
80,Positive,2
81,Positive,2
82,Positive,2
83,Positive,2
84,neutral,1
85,neutral,1
86,Positive,2
87,Positive,2
88,Neutral,1
89,Positive,2
90,Neutral,1
91,Positive,2
92,Positive,2
93,Positive,2
94,Positive,2
95,Positive,2
96,Positive,2
97,Positive,2
98,Positive,2
99,Positive,2
100,Positive,2
101,Positive,2
102,Positive,2
103,Positive,2
104,positive,2
105,neutral,1
106,Positive,2
107,Positive,2
108,Positive,2
109,Positive,2
110,Positive,2
111,Positive,2
112,Positive,2
113,Positive,2
114,neutral,1
115,Neutral,1
116,Positive,2
117,Positive,2
118,Positive,2
119,Positive,2
120,Positive,2
121,Neutral,1
122,Positive,2
123,Positive,2
124,Positive,2
125,Positive,2
126,Positive,2
127,Neutral,1
128,neutral,1
129,Positive,2
130,neutral,1
131,Neutral,1
132,Positive,2
133,neutral,1
134,Neutral,1
135,neutral,1
136,Positive,2
137,Positive,2
138,Positive,2
139,Positive,2
140,neutral,1
141,Positive,2
142,Neutral.,1
143,Positive,2
144,neutral,1
145,neutral,1
146,Positive,2
147,neutral,1
148,neutral.,1
149,neutral,1
150,Positive,2
151,positive,2
152,Positive,2
153,Positive,2
154,Positive,2
155,Positive,2
156,Positive,2
157,Positive,2
158,Positive,2
159,Positive,2
160,Positive,2
161,Positive,2
162,Positive,2
163,Positive,2
164,Positive,2
165,Positive,2
166,Positive,2
167,neutral,1
168,Positive,2
169,Positive,2
170,Positive,2
171,neutral,1
172,Positive,2
173,Positive,2
174,Positive,2
175,Positive,2
176,Positive,2
177,Positive,2
178,Positive,2
179,Positive,2
180,Positive,2
181,neutral,1
182,Positive,2
183,Positive,2
184,Positive,2
185,Positive,2
186,Positive,2
187,Positive,2
188,Positive,2
189,Positive,2
190,Positive,2
191,Positive,2
192,Neutral,1
193,Positive,2
194,Neutral,1
195,Positive,2
196,Positive,2
197,Positive,2
198,neutral,1
199,Positive,2
200,neutral,1
201,Positive,2
202,Positive,2
203,Positive,2
204,Positive,2
205,Positive,2
206,Neutral.,1
207,Positive,2
208,Positive,2
209,Positive,2
210,neutral,1
211,Positive,2
212,Positive,2
213,Positive,2
214,Positive,2
215,Positive,2
216,neutral,1
217,Positive,2
218,Positive,2
219,Positive,2
220,Positive,2
221,Positive,2
222,Positive,2
223,Positive,2
224,Neutral,1
225,neutral,1
226,neutral,1
227,Positive,2
228,Positive,2
229,Positive,2
230,neutral,1
231,Positive,2
232,Positive,2
233,neutral,1
234,Positive,2
235,neutral,1
236,Positive,2
237,Positive,2
238,Positive,2
239,Positive,2
240,Positive,2
241,Positive,2
242,Positive,2
243,Positive,2
244,Positive,2
245,Positive,2
246,Positive,2
247,Positive,2
248,Positive,2
249,Neutral.,1
250,Positive,2
251,Positive,2
252,Positive,2
253,Positive,2
254,Positive,2
255,Positive,2
256,Positive,2
257,Positive,2
258,Positive,2
259,Positive,2
260,neutral,1
261,Positive,2
262,Positive,2
263,Neutral,1
264,Neutral,1
265,neutral.,1
266,neutral,1
267,Neutral.,1
268,Neutral,1
269,Neutral.,1
270,Neutral,1
271,Neutral.,1
272,Neutral,1
273,Neutral.,1
274,Neutral,1
275,Neutral,1
276,Neutral,1
277,Neutral.,1
278,neutral,1
279,neutral,1
280,Neutral.,1
281,neutral,1
282,Neutral,1
283,Neutral,1
284,neutral,1
285,Neutral.,1
286,Neutral.,1
287,Neutral.,1
288,neutral,1
289,Neutral,1
290,neutral,1
291,neutral,1
292,Negative,0
293,Negative,0
294,Negative,0
295,Positive,2
296,Positive,2
297,Positive,2
298,Positive,2
299,Positive,2
300,Positive,2
301,Positive,2
302,Positive,2
303,Positive,2
304,Neutral,1
305,Neutral.,1
306,Neutral,1
307,neutral,1
308,Positive,2
309,Positive,2
310,Positive,2
311,Neutral,1
312,Neutral,1
313,Neutral,1
314,Positive,2
315,Positive,2
316,Positive,2
317,Positive,2
318,positive,2
319,Positive,2
320,Positive,2
321,Positive,2
322,Neutral,1
323,neutral,1
324,Positive,2
325,Positive,2
326,Neutral.,1
327,Positive,2
328,neutral,1
329,Neutral,1
330,neutral,1
331,Neutral,1
332,neutral,1
333,neutral,1
334,neutral,1
335,neutral,1
336,neutral,1
337,Positive,2
338,Neutral,1
339,Neutral,1
340,neutral,1
341,neutral,1
342,Neutral,1
343,neutral,1
344,Positive,2
345,Positive,2
346,neutral,1
347,Negative,0
348,neutral,1
349,Negative,0
350,Negative,0
351,Negative,0
352,Negative,0
353,Negative,0
354,Negative,0
355,Negative,0
356,Negative,0
357,neutral,1
358,Negative,0
359,Negative,0
360,Negative,0
361,Negative,0
362,Negative,0
363,Positive,2
364,neutral,1
365,Positive,2
366,Positive,2
367,Positive,2
368,Positive,2
369,Positive,2
370,neutral,1
371,neutral,1
372,neutral,1
373,Neutral.,1
374,Negative,0
375,Positive,2
376,Positive,2
377,Positive,2
378,Positive,2
379,Positive,2
380,Positive,2
381,Negative,0
382,Positive,2
383,Positive,2
384,Positive,2
385,Positive,2
386,positive,2
387,Positive,2
388,Positive,2
389,Positive,2
390,positive,2
391,Positive,2
392,Neutral,1
393,Neutral,1
394,neutral,1
395,Positive,2
396,Negative,0
397,Positive,2
398,Positive,2
399,Positive,2
400,Positive,2
401,Positive,2
402,Positive,2
403,Positive,2
404,Positive,2
405,Positive,2
406,Positive,2
407,Positive,2
408,neutral,1
409,Positive,2
410,Positive,2
411,Positive,2
412,Positive,2
413,Positive,2
414,neutral,1
415,neutral,1
416,Neutral,1
417,Positive,2
418,Positive,2
419,Positive,2
420,Positive,2
421,Positive,2
422,Positive,2
423,Positive,2
424,Positive,2
425,Neutral,1
426,Positive,2
427,Positive,2
428,Positive,2
429,Neutral,1
430,Neutral,1
431,Neutral,1
432,Positive,2
433,Positive,2
434,Neutral,1
435,neutral.,1
436,neutral,1
437,Positive,2
438,Positive,2
439,Positive,2
440,Positive,2
441,Neutral,1
