,response,label
0,neutral,1
1,neutral,1
2,Positive,2
3,neutral,1
4,Positive,2
5,neutral,1
6,Positive,2
7,neutral,1
8,neutral,1
9,Positive,2
10,Negative,0
11,positive,2
12,neutral,1
13,Positive,2
14,neutral,1
15,Positive,2
16,Positive,2
17,Positive,2
18,Positive,2
19,Positive,2
20,neutral,1
21,positive,2
22,neutral,1
23,Positive,2
24,neutral,1
25,Neutral,1
26,neutral,1
27,Negative,0
28,neutral,1
29,neutral,1
30,neutral,1
31,Positive,2
32,neutral,1
33,Positive,2
34,Negative,0
35,neutral,1
36,neutral,1
37,neutral,1
38,Positive,2
39,Positive,2
40,Positive,2
41,Positive,2
42,neutral,1
43,Positive,2
44,Neutral,1
45,neutral,1
46,neutral,1
47,Negative,0
48,neutral,1
49,neutral,1
50,neutral,1
51,neutral,1
52,positive,2
53,Positive,2
54,neutral,1
55,Positive,2
56,Neutral,1
57,neutral,1
58,positive,2
59,neutral,1
60,positive,2
61,Positive,2
62,neutral,1
63,neutral,1
64,Positive,2
65,Negative,0
66,positive,2
67,Negative,0
68,Positive,2
69,neutral,1
70,Positive,2
71,Positive,2
72,neutral,1
73,neutral,1
74,Positive,2
75,Negative,0
76,neutral,1
77,Positive,2
78,Neutral,1
79,neutral,1
80,positive,2
81,Neutral,1
82,Neutral,1
83,Positive,2
84,neutral,1
85,neutral,1
86,neutral,1
87,neutral,1
88,Positive,2
89,neutral,1
90,neutral,1
91,positive,2
92,Positive,2
93,neutral,1
94,neutral,1
95,Positive,2
96,neutral,1
97,neutral,1
98,Positive,2
99,neutral,1
100,neutral,1
101,Negative,0
102,neutral,1
103,Positive,2
104,Negative,0
105,neutral,1
106,Positive,2
107,Positive,2
108,Positive,2
109,neutral,1
110,neutral,1
111,neutral,1
112,neutral,1
113,Negative,0
114,positive,2
115,Positive,2
116,Negative,0
117,neutral,1
118,neutral,1
119,Positive,2
120,positive,2
121,Positive,2
122,neutral,1
123,positive,2
124,neutral,1
125,Negative,0
126,positive,2
127,Positive,2
128,Positive,2
129,neutral,1
130,neutral,1
131,Positive,2
132,neutral,1
133,Negative,0
134,neutral,1
135,neutral,1
136,neutral,1
137,negative,0
138,Positive,2
139,Positive,2
140,Negative,0
141,Neutral,1
142,Negative,0
143,negative,0
144,Positive,2
145,Negative,0
146,positive,2
147,neutral,1
148,Negative,0
149,neutral,1
150,Positive,2
151,neutral,1
152,neutral,1
153,Positive,2
154,positive,2
155,Positive,2
156,Positive,2
157,neutral,1
158,Positive,2
159,neutral,1
160,neutral,1
161,neutral,1
162,neutral,1
163,Negative,0
164,Negative,0
165,Neutral,1
166,Positive,2
167,neutral,1
168,positive,2
169,Neutral,1
170,Positive,2
171,neutral,1
172,positive,2
173,Positive,2
174,neutral,1
175,neutral,1
176,neutral,1
177,Positive,2
178,Negative,0
179,neutral,1
180,Negative,0
181,neutral,1
182,Neutral,1
183,Negative,0
184,neutral,1
185,Positive,2
186,neutral,1
187,Positive,2
188,Positive,2
189,Negative,0
190,neutral,1
191,neutral,1
192,Neutral,1
193,Positive,2
194,neutral,1
195,Neutral,1
196,neutral,1
197,Neutral,1
198,neutral,1
199,neutral,1
200,Positive,2
201,Negative,0
202,Positive,2
203,Positive,2
204,neutral,1
205,neutral,1
206,neutral,1
207,Neutral,1
208,Positive,2
209,Negative,0
210,neutral,1
211,neutral,1
212,Neutral,1
213,neutral,1
214,neutral,1
215,neutral,1
216,Negative,0
217,Positive,2
218,Positive,2
219,neutral,1
220,neutral,1
221,neutral,1
222,neutral,1
223,Positive,2
224,neutral,1
225,Positive,2
226,neutral,1
227,Positive,2
228,Negative,0
229,Positive,2
230,neutral,1
231,Negative,0
232,neutral,1
233,neutral,1
234,neutral,1
235,Neutral,1
236,neutral,1
237,Positive,2
238,Negative,0
239,Positive,2
240,Negative,0
241,neutral,1
242,Positive,2
243,neutral,1
244,Positive,2
245,neutral,1
246,Negative,0
247,neutral,1
248,Positive,2
249,neutral,1
250,neutral,1
251,neutral,1
252,Negative,0
253,neutral,1
254,neutral,1
255,Neutral,1
256,neutral,1
257,Positive,2
258,Negative,0
259,Neutral,1
260,Positive,2
261,neutral,1
262,neutral,1
263,neutral,1
264,neutral,1
265,neutral,1
266,Negative,0
267,neutral,1
268,Positive,2
269,neutral,1
270,Positive,2
271,neutral,1
