,sentence,label,data_type,preictions,references
4,"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales .",2.0,val,0.0,2.0
10,"Its board of directors will propose a dividend of EUR0 .12 per share for 2010 , up from the EUR0 .08 per share paid in 2009 .",2.0,val,0.0,2.0
13,Net sales increased to EUR193 .3 m from EUR179 .9 m and pretax profit rose by 34.2 % to EUR43 .1 m. ( EUR1 = USD1 .4 ),2.0,val,0.0,2.0
30,The agreement strengthens our long-term partnership with Nokia Siemens Networks .,2.0,val,0.0,2.0
33,"The world 's second largest stainless steel maker said net profit in the three-month period until Dec. 31 surged to euro603 million US$ 781 million , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .",2.0,val,0.0,2.0
35,Shares of Nokia Corp. rose Thursday after the cell phone maker said its third-quarter earnings almost doubled and its share of the global handset market increased .,2.0,val,0.0,2.0
37,"At the request of Finnish media company Alma Media 's newspapers , research manager Jari Kaivo-oja at the Finland Futures Research Centre at the Turku School of Economics has drawn up a future scenario for Finland 's national economy by using a model developed by the University of Denver .",1.0,val,0.0,2.0
39,"A maximum of 666,104 new shares can further be subscribed for by exercising B options under the 2004 stock option plan .",1.0,val,0.0,2.0
43,"Adjusted for changes in the Group structure , the Division 's net sales increased by 1.7 % .",2.0,val,0.0,2.0
47,"Finnish financial group Aktia reports operating profit of EUR 44.4 mn in January-September 2009 , up from EUR 37.3 mn in the corresponding period in 2008 .",2.0,val,2.0,1.0
56,"In 2009 , Fiskars ' cash flow from operating activities amounted to EUR121m , up from EUR97m in the previous year .",2.0,val,0.0,2.0
62,"Net sales rose by 25.5 % year-on-year to EUR59 .6 m , as the number of chargers delivered went up by 41 % to 65.9 million pieces .",2.0,val,1.0,0.0
64,Operating profit increased by 145.1 % to EUR 8.3 mn from EUR 3.4 mn .,2.0,val,0.0,2.0
67,Operating profit rose to EUR 5mn from EUR 2.8 mn in the fourth quarter of 2008 .,2.0,val,1.0,0.0
75,"The last quarter was the best quarter of 2009 in net sales , and the operating margin rose to 12.2 % .",2.0,val,0.0,2.0
79,"According to Finnish Metso Minerals , the value of the company 's orders has gone up to EUR 1.9 bn in 12 months .",2.0,val,2.0,1.0
81,Finnish financial group Aktia 's operating profit for 2009 increased to EUR 47.0 mn from EUR 6.6 mn in 2008 .,2.0,val,2.0,1.0
84,"According to HKScan Finland , the plan is to increase J+ñrvi-Suomen Portti 's net sales to EUR 80mn to EUR 100mn .",2.0,val,2.0,1.0
89,"Both operating profit and net sales for the 12-month period increased , respectively from EUR20 .8 m and EUR177 .7 m , as compared to the financial year 2004 .",2.0,val,2.0,1.0
90,"Both operating profit and net sales for the 12-month period increased , respectively from EUR21 .5 m and EUR196 .1 m , as compared to 2005 .",2.0,val,2.0,1.0
105,"Digia said its consolidated net sales for January-June 2010 were EUR67 .8 m , up 9.7 % on the same period in 2009 ( EUR61 .9 m ) .",2.0,val,2.0,1.0
107,Diluted earnings per share ( EPS ) rose to EUR 0.52 versus EUR 0.09 .,2.0,val,2.0,1.0
115,"Finland-based Elcoteq SE , a privately held provider of electronics manufacturing services to communications companies , said Thursday it signed a long-term manufacturing supply deal with communications equipment company Andrew Corp. .",2.0,val,0.0,2.0
118,"Finnish lifting equipment maker Konecranes Oyj said on July 30 , 2008 that its net profit rose to 71.2 mln euro ( $ 111.1 mln ) for the first half of 2008 from 57.1 mln euro ( $ 89.1 mln ) for the same period of 2007 .",2.0,val,2.0,1.0
120,Finnish metal products company Componenta Oyj net profit rose to 26.1 mln euro ( $ 35.9 mln ) for the first quarter of 2007 from 5.3 mln euro ( $ 7.3 mln ) for the same period of 2006 .,2.0,val,0.0,2.0
130,"Ragutis , which is controlled by the Finnish brewery , reported a 5.4-per-cent rise in beer sales to 10.44 million litres and held an 11.09-per-cent market share .",2.0,val,2.0,1.0
142,"Kesko Agro Eesti , the retailer and wholesaler of grain , agricultural and warehousing machinery and accessories , had net sales of 81 million euros in 2007 , an increase by one-tenth over the preceding year .",2.0,val,2.0,1.0
145,"( ADP News ) - Feb 11 , 2009 - Finnish management software solutions provider Ixonos Oyj ( HEL : XNS1V ) said today its net profit rose to EUR 3.5 million ( USD 4.5 m ) for 2008 from EUR 3.1 million for 2007 .",2.0,val,2.0,1.0
150,"Metso expects its net sales to increase by about 10 % in 2008 , at comparable exchange rates .",2.0,val,2.0,1.0
152,"Net interest income was EUR 152.2 mn , up from EUR 101.0 mn in 2008 .",2.0,val,2.0,1.0
165,Operating profit rose to EUR 3.2 mn from EUR 1.0 mn in the corresponding period in 2008 .,2.0,val,2.0,1.0
172,"Operating profit totaled EUR 5.5 mn , up from EUR -0.7 mn .",2.0,val,2.0,1.0
174,"Operating profit was EUR 139.7 mn , up 23 % from EUR 113.8 mn .",2.0,val,2.0,1.0
176,Orders received grew by 55 % year-on-year to EUR732m .,2.0,val,0.0,1.0
179,Passenger-related revenue rose by 5.1 % to EUR 460.8 mn from EUR 438.5 mn in 2009 .,2.0,val,2.0,1.0
